1 56.68 57.68 53.65 54.65 
2 56.55 57.55 55.39 56.39 
3 54.39 56.47 53.39 55.47 
4 54.98 55.98 53.59 54.59 
5 53.32 55.2 52.32 54.2 
6 52.1 55.51 51.1 54.51 
7 54.04 55.04 51.18 52.18 
8 56.21 57.21 52.76 53.76 
9 52.9 56.74 51.9 55.74 
10 52.15 54.19 51.15 53.19 
11 52.93 53.93 50.95 51.95 
12 52.42 53.42 51.16 52.16 
13 53.43 54.43 51.19 52.19 
14 49.82 53.56 48.82 52.56 
15 51.07 52.07 48.88 49.88 
16 53.43 54.43 51.39 52.39 
17 54.53 55.53 52.66 53.66 
18 57.16 58.16 54.51 55.51 
19 57.44 58.44 55.49 56.49 
20 55.1 57.18 54.1 56.18 
21 56.65 57.65 54.9 55.9 
22 54.91 56.92 53.91 55.92 
23 56.9 57.9 51.92 52.92 
24 55.98 57.97 54.98 56.97 
25 57.35 58.35 55.6 56.6 
26 55.96 57.95 54.96 56.95 
27 53.73 55.99 52.73 54.99 
28 52.24 55.93 51.24 54.93 
29 48.47 51.94 47.47 50.94 
30 49.65 50.65 47.38 48.38 
31 48.07 49.79 47.07 48.79 
32 48.96 49.96 46.56 47.56 
33 44.3 48.52 43.3 47.52 
34 44.3 45.3 41.59 42.59 
35 43.4 45.49 42.4 44.49 
36 44.18 45.18 42.66 43.66 
37 47.93 48.93 44.48 45.48 
38 47.24 48.86 46.24 47.86 
39 46.32 47.58 45.32 46.58 
40 45.78 48.5 44.78 47.5 
41 46.79 47.79 43.63 44.63 
42 44.04 47.22 43.04 46.22 
43 40.62 42.64 39.62 41.64 
44 41.51 42.51 38.61 39.61 
45 39.56 40.82 38.56 39.82 
46 39.54 40.54 38.12 39.12 
47 40.19 42.88 39.19 41.88 
48 39.08 40.08 37.71 38.71 
49 42.2 44.9 41.2 43.9 
50 42 43 38.01 39.01 
51 44.19 46.7 43.19 45.7 
52 45.41 46.41 44.38 45.38 
53 43.03 44.27 42.03 43.27 
54 49.44 50.44 47.59 48.59 
55 48.68 49.68 47.11 48.11 
56 48.25 51.11 47.25 50.11 
57 49.03 50.03 45.75 46.75 
58 47.42 48.46 46.42 47.46 
59 47.46 48.46 46.46 47.46 
